iter	Passed	Remaining
0	216	216434
1	217	108641
2	218	72709
3	219	54739
4	220	43955
5	221	36753
6	222	31598
7	223	27738
8	224	24726
9	230	22851
10	232	20859
11	233	19187
12	234	17774
13	236	16673
14	243	15980
15	244	15026
16	245	14189
17	246	13434
18	247	12759
19	247	12149
20	248	11599
21	249	11102
22	250	10645
23	251	10242
24	262	10223
25	263	9861
26	264	9521
27	265	9208
28	266	8908
29	266	8626
30	267	8367
31	268	8126
32	269	7893
33	270	7676
34	270	7469
35	271	7274
36	272	7090
37	273	6915
38	273	6750
39	274	6593
40	275	6449
41	276	6306
42	281	6274
43	282	6144
44	283	6019
45	284	5900
46	285	5783
47	286	5672
48	286	5566
49	287	5463
50	288	5364
51	289	5272
52	289	5180
53	290	5093
54	294	5065
55	296	5003
56	297	4925
57	298	4850
58	299	4777
59	300	4709
60	301	4639
61	302	4571
62	302	4506
63	303	4442
64	304	4380
65	305	4319
66	306	4262
67	307	4218
68	308	4163
69	309	4109
70	310	4056
71	310	4005
72	311	3955
73	312	3907
74	313	3861
75	313	3816
76	314	3772
77	315	3730
78	316	3688
79	317	3647
80	317	3606
81	323	3620
82	324	3584
83	325	3548
84	326	3509
85	327	3476
86	327	3439
87	328	3405
88	329	3373
89	331	3347
90	331	3315
91	340	3363
92	341	3334
93	342	3305
94	343	3276
95	345	3249
96	345	3220
97	347	3193
98	347	3166
99	348	3139
100	349	3114
101	350	3085
102	351	3061
103	352	3035
104	353	3011
105	354	2987
106	355	2962
107	355	2939
108	357	2918
109	357	2895
110	363	2910
111	364	2887
112	365	2865
113	366	2845
114	366	2823
115	367	2799
116	368	2778
117	368	2757
118	369	2735
119	370	2714
120	371	2695
121	371	2676
122	372	2654
123	373	2635
124	378	2649
125	379	2631
126	380	2613
127	380	2593
128	381	2575
129	382	2559
130	383	2542
131	384	2525
132	384	2509
133	385	2492
134	386	2475
135	387	2459
136	387	2443
137	388	2427
138	393	2437
139	394	2422
140	395	2407
141	395	2391
142	396	2377
143	397	2362
144	398	2347
145	398	2332
146	399	2318
147	400	2304
148	401	2291
149	402	2278
150	402	2265
151	404	2255
152	410	2274
153	411	2261
154	412	2248
155	413	2235
156	414	2223
157	414	2211
158	415	2198
159	416	2186
160	417	2174
161	417	2162
162	418	2150
163	419	2138
164	426	2157
165	427	2148
166	428	2139
167	430	2130
168	430	2119
169	431	2107
170	432	2096
171	433	2085
172	433	2074
173	434	2063
174	441	2081
175	442	2071
176	443	2060
177	443	2049
178	444	2039
179	445	2028
180	445	2017
181	446	2007
182	447	1997
183	448	1987
184	449	1978
185	449	1968
186	450	1958
187	456	1971
188	457	1963
189	458	1953
190	458	1944
191	459	1934
192	460	1925
193	461	1916
194	462	1907
195	462	1898
196	463	1889
197	464	1880
198	465	1871
199	471	1885
200	472	1877
201	473	1870
202	474	1862
203	475	1855
204	476	1847
205	477	1839
206	478	1831
207	479	1824
208	480	1817
209	481	1809
210	487	1822
211	488	1814
212	489	1806
213	489	1798
214	490	1790
215	491	1783
216	492	1775
217	492	1767
218	493	1761
219	495	1755
220	496	1748
221	503	1765
222	505	1759
223	506	1754
224	507	1747
225	508	1741
226	509	1734
227	510	1727
228	511	1720
229	518	1734
230	520	1731
231	521	1725
232	522	1719
233	523	1713
234	524	1707
235	525	1701
236	535	1724
237	537	1719
238	539	1717
239	540	1711
240	541	1705
241	547	1715
242	548	1709
243	554	1717
244	556	1714
245	568	1741
246	573	1747
247	581	1762
248	582	1757
249	584	1753
250	586	1749
251	587	1743
252	599	1770
253	601	1765
254	602	1761
255	605	1759
256	620	1795
257	632	1819
258	637	1822
259	645	1838
260	647	1833
261	648	1827
262	650	1822
263	651	1817
264	654	1814
265	655	1809
266	657	1805
267	660	1802
268	661	1797
269	662	1790
270	670	1802
271	672	1799
272	673	1793
273	674	1787
274	675	1781
275	676	1775
276	678	1769
277	686	1782
278	688	1778
279	689	1773
280	692	1772
281	694	1767
282	702	1779
283	704	1776
284	706	1772
285	707	1766
286	708	1760
287	709	1754
288	718	1766
289	720	1764
290	721	1758
291	723	1753
292	724	1747
293	731	1756
294	732	1751
295	734	1746
296	737	1746
297	739	1740
298	746	1750
299	747	1745
300	749	1740
301	751	1736
302	752	1731
303	754	1727
304	756	1722
305	757	1718
306	760	1715
307	761	1711
308	763	1706
309	764	1701
310	765	1696
311	766	1691
312	767	1685
313	769	1680
314	770	1674
315	770	1668
316	771	1663
317	773	1657
318	780	1666
319	781	1661
320	782	1655
321	784	1651
322	785	1646
323	787	1642
324	788	1638
325	796	1646
326	797	1640
327	798	1635
328	799	1630
329	800	1625
330	801	1620
331	802	1614
332	803	1609
333	804	1604
334	811	1611
335	812	1605
336	813	1600
337	814	1595
338	817	1593
339	819	1590
340	827	1599
341	828	1594
342	830	1590
343	831	1585
344	832	1579
345	833	1574
346	835	1572
347	836	1567
348	837	1562
349	838	1556
350	839	1551
351	840	1547
352	841	1541
353	843	1538
354	844	1534
355	854	1546
356	859	1547
357	860	1542
358	861	1538
359	862	1533
360	863	1529
361	865	1525
362	867	1521
363	867	1516
364	868	1511
365	869	1506
366	870	1501
367	871	1496
368	878	1501
369	879	1498
370	881	1493
371	882	1489
372	883	1484
373	883	1479
374	884	1474
375	885	1469
376	886	1464
377	892	1468
378	893	1464
379	895	1460
380	895	1455
381	896	1451
382	897	1446
383	898	1441
384	899	1437
385	900	1432
386	901	1427
387	906	1430
388	907	1425
389	908	1421
390	910	1417
391	911	1413
392	912	1409
393	913	1405
394	914	1400
395	915	1395
396	916	1391
397	916	1386
398	923	1391
399	924	1386
400	925	1382
401	926	1378
402	927	1373
403	928	1369
404	929	1364
405	930	1360
406	930	1356
407	931	1352
408	938	1355
409	939	1351
410	940	1347
411	941	1343
412	942	1339
413	943	1335
414	944	1330
415	945	1326
416	946	1322
417	947	1318
418	951	1319
419	953	1317
420	955	1313
421	956	1309
422	957	1306
423	958	1302
424	959	1298
425	960	1294
426	961	1290
427	962	1286
428	969	1290
429	970	1286
430	971	1282
431	972	1278
432	973	1274
433	974	1270
434	974	1266
435	975	1262
436	976	1258
437	977	1254
438	983	1257
439	984	1253
440	986	1249
441	987	1246
442	987	1242
443	988	1238
444	989	1234
445	990	1230
446	991	1226
447	992	1222
448	993	1219
449	999	1221
450	1000	1218
451	1001	1214
452	1002	1210
453	1003	1206
454	1004	1203
455	1005	1199
456	1006	1195
457	1006	1191
458	1008	1188
459	1009	1184
460	1012	1183
461	1013	1180
462	1014	1176
463	1015	1172
464	1016	1169
465	1017	1165
466	1018	1162
467	1019	1158
468	1020	1155
469	1021	1152
470	1022	1148
471	1023	1145
472	1024	1141
473	1025	1138
474	1026	1134
475	1028	1131
476	1036	1136
477	1037	1133
478	1038	1129
479	1039	1126
480	1040	1122
481	1041	1119
482	1042	1115
483	1043	1112
484	1050	1115
485	1051	1112
486	1052	1109
487	1053	1105
488	1054	1102
489	1055	1098
490	1056	1095
491	1057	1091
492	1058	1088
493	1059	1084
494	1060	1081
495	1062	1079
496	1062	1075
497	1063	1072
498	1064	1069
499	1065	1065
500	1066	1062
501	1067	1059
502	1068	1055
503	1069	1052
504	1077	1055
505	1078	1052
506	1079	1049
507	1080	1046
508	1081	1042
509	1081	1039
510	1082	1036
511	1084	1033
512	1085	1030
513	1091	1032
514	1092	1029
515	1093	1025
516	1094	1022
517	1095	1019
518	1096	1016
519	1097	1012
520	1098	1009
521	1099	1006
522	1100	1003
523	1107	1005
524	1108	1002
525	1109	999
526	1110	996
527	1111	993
528	1112	990
529	1112	986
530	1113	983
531	1114	980
532	1122	983
533	1123	980
534	1124	977
535	1125	974
536	1126	970
537	1127	967
538	1128	964
539	1128	961
540	1130	958
541	1131	955
542	1139	958
543	1139	955
544	1141	952
545	1141	949
546	1142	946
547	1144	943
548	1144	940
549	1145	937
550	1146	934
551	1152	935
552	1154	932
553	1155	929
554	1156	926
555	1156	923
556	1157	920
557	1158	917
558	1160	915
559	1161	912
560	1167	913
561	1168	910
562	1169	908
563	1171	905
564	1172	902
565	1173	899
566	1174	897
567	1175	894
568	1176	891
569	1177	888
570	1241	932
571	1243	930
572	1269	946
573	1272	944
574	1273	941
575	1275	938
576	1286	942
577	1369	999
578	1371	997
579	1373	994
580	1374	991
581	1376	988
582	1377	985
583	1383	985
584	1391	987
585	1392	984
586	1394	980
587	1400	981
588	1406	981
589	1408	978
590	1417	980
591	1427	984
592	1432	983
593	1433	979
594	1435	977
595	1443	978
596	1448	977
597	1450	975
598	1453	972
599	1466	977
600	1471	977
601	1473	974
602	1481	975
603	1483	972
604	1484	969
605	1486	966
606	1487	963
607	1488	959
608	1493	958
609	1495	956
610	1497	953
611	1498	950
612	1500	947
613	1502	944
614	1504	942
615	1506	939
616	1509	936
617	1511	934
618	1514	932
619	1516	929
620	1518	926
621	1519	923
622	1521	920
623	1523	918
624	1525	915
625	1528	912
626	1529	909
627	1531	907
628	1532	904
629	1534	901
630	1538	899
631	1539	896
632	1541	893
633	1542	890
634	1544	887
635	1546	884
636	1548	882
637	1549	879
638	1551	876
639	1553	874
640	1555	871
641	1558	869
642	1560	866
643	1564	864
644	1566	862
645	1569	859
646	1570	857
647	1572	854
648	1574	851
649	1575	848
650	1576	845
651	1578	842
652	1579	839
653	1580	835
654	1580	832
655	1581	829
656	1582	826
657	1584	823
658	1585	820
659	1587	817
660	1589	815
661	1590	811
662	1591	808
663	1592	805
664	1593	802
665	1594	799
666	1595	796
667	1597	794
668	1599	791
669	1600	788
670	1602	785
671	1604	783
672	1605	780
673	1607	777
674	1608	774
675	1609	771
676	1610	768
677	1611	765
678	1613	762
679	1614	759
680	1615	756
681	1616	753
682	1617	750
683	1618	747
684	1620	745
685	1621	742
686	1622	739
687	1623	736
688	1624	733
689	1625	730
690	1626	727
691	1627	724
692	1629	721
693	1630	718
694	1631	716
695	1632	713
696	1634	710
697	1635	707
698	1637	705
699	1638	702
700	1639	699
701	1640	696
702	1641	693
703	1642	690
704	1643	687
705	1644	684
706	1645	681
707	1646	679
708	1647	676
709	1648	673
710	1649	670
711	1650	667
712	1651	664
713	1653	662
714	1655	659
715	1656	657
716	1658	654
717	1659	651
718	1660	648
719	1661	646
720	1662	643
721	1664	641
722	1665	638
723	1666	635
724	1667	632
725	1668	629
726	1669	626
727	1670	624
728	1671	621
729	1672	618
730	1673	615
731	1674	613
732	1675	610
733	1676	607
734	1677	604
735	1678	602
736	1679	599
737	1680	596
738	1681	593
739	1682	591
740	1683	588
741	1684	585
742	1685	582
743	1686	580
744	1686	577
745	1688	574
746	1689	572
747	1689	569
748	1690	566
749	1691	563
750	1692	561
751	1693	558
752	1694	555
753	1695	553
754	1696	550
755	1697	547
756	1698	545
757	1699	542
758	1700	539
759	1701	537
760	1702	534
761	1703	532
762	1704	529
763	1705	526
764	1706	524
765	1707	521
766	1708	519
767	1709	516
768	1711	513
769	1712	511
770	1713	508
771	1714	506
772	1715	503
773	1716	501
774	1717	498
775	1718	496
776	1720	493
777	1727	492
778	1739	493
779	1741	491
780	1746	489
781	1748	487
782	1749	484
783	1750	482
784	1751	479
785	1752	477
786	1753	474
787	1754	472
788	1755	469
789	1756	466
790	1757	464
791	1758	461
792	1759	459
793	1760	456
794	1761	454
795	1762	451
796	1763	449
797	1764	446
798	1765	444
799	1766	441
800	1767	439
801	1768	436
802	1769	434
803	1770	431
804	1771	429
805	1772	426
806	1773	424
807	1774	421
808	1775	419
809	1775	416
810	1776	414
811	1777	411
812	1778	409
813	1779	406
814	1780	404
815	1781	401
816	1782	399
817	1783	396
818	1784	394
819	1784	391
820	1785	389
821	1786	386
822	1787	384
823	1788	382
824	1789	379
825	1790	377
826	1791	374
827	1792	372
828	1793	369
829	1794	367
830	1795	365
831	1796	362
832	1797	360
833	1798	357
834	1798	355
835	1799	353
836	1800	350
837	1801	348
838	1802	345
839	1803	343
840	1804	341
841	1805	338
842	1806	336
843	1807	334
844	1808	331
845	1809	329
846	1810	326
847	1811	324
848	1811	322
849	1812	319
850	1813	317
851	1814	315
852	1815	312
853	1816	310
854	1817	308
855	1818	305
856	1819	303
857	1820	301
858	1821	298
859	1822	296
860	1823	294
861	1824	292
862	1825	289
863	1826	287
864	1826	285
865	1827	282
866	1828	280
867	1829	278
868	1830	275
869	1831	273
870	1832	271
871	1833	269
872	1834	266
873	1835	264
874	1836	262
875	1837	260
876	1838	257
877	1839	255
878	1840	253
879	1841	251
880	1842	248
881	1843	246
882	1844	244
883	1845	242
884	1845	239
885	1846	237
886	1847	235
887	1848	233
888	1849	230
889	1850	228
890	1851	226
891	1852	224
892	1853	222
893	1854	219
894	1855	217
895	1856	215
896	1857	213
897	1857	211
898	1858	208
899	1859	206
900	1860	204
901	1861	202
902	1862	200
903	1863	197
904	1864	195
905	1865	193
906	1866	191
907	1867	189
908	1868	187
909	1869	184
910	1870	182
911	1871	180
912	1872	178
913	1873	176
914	1874	174
915	1874	171
916	1875	169
917	1876	167
918	1877	165
919	1878	163
920	1879	161
921	1880	159
922	1881	156
923	1882	154
924	1883	152
925	1884	150
926	1885	148
927	1886	146
928	1887	144
929	1888	142
930	1888	139
931	1889	137
932	1890	135
933	1891	133
934	1892	131
935	1893	129
936	1894	127
937	1895	125
938	1896	123
939	1896	121
940	1897	118
941	1898	116
942	1899	114
943	1900	112
944	1901	110
945	1902	108
946	1903	106
947	1903	104
948	1904	102
949	1905	100
950	1906	98
951	1907	96
952	1908	94
953	1909	92
954	1910	90
955	1911	87
956	1912	85
957	1912	83
958	1913	81
959	1914	79
960	1915	77
961	1916	75
962	1917	73
963	1918	71
964	1919	69
965	1920	67
966	1921	65
967	1922	63
968	1923	61
969	1925	59
970	1926	57
971	1927	55
972	1927	53
973	1928	51
974	1929	49
975	1930	47
976	1931	45
977	1932	43
978	1933	41
979	1934	39
980	1935	37
981	1935	35
982	1936	33
983	1937	31
984	1938	29
985	1939	27
986	1940	25
987	1941	23
988	1949	21
989	1958	19
990	1968	17
991	1971	15
992	1972	13
993	1973	11
994	1974	9
995	1975	7
996	1976	5
997	1977	3
998	1978	1
999	1979	0
